Timestamp,Min_Windspeed2,Avg_Winddirection2,Max_Humidity,Max_AmbientTemp,Max_Pressure
2016-01-01 00:00:00+00:00,3.8,236,92,17,1018
2016-01-01 00:10:00+00:00,4.1,236,90,18,1018
2016-01-01 00:20:00+00:00,4.4,236,91,17,1018
2016-01-01 00:30:00+00:00,5.1,236,90,17,1018
2016-01-01 00:40:00+00:00,4.9,236,91,18,1018
2016-01-01 00:50:00+00:00,5.0,236,91,17,1018
2016-01-01 01:00:00+00:00,4.0,236,91,17,1018
2016-01-01 01:10:00+00:00,4.5,236,91,18,1018
2016-01-01 01:20:00+00:00,4.8,236,90,17,1017
2016-01-01 01:30:00+00:00,4.6,236,89,18,1017
2016-01-01 01:40:00+00:00,4.1,236,89,18,1017
2016-01-01 01:50:00+00:00,4.4,236,89,17,1017
2016-01-01 02:00:00+00:00,3.8,236,88,18,1017
2016-01-01 02:10:00+00:00,3.5,236,88,18,1017
2016-01-01 02:20:00+00:00,3.4,236,87,17,1017
2016-01-01 02:30:00+00:00,3.4,236,85,18,1017
2016-01-01 02:40:00+00:00,3.5,236,86,18,1017
2016-01-01 02:50:00+00:00,3.9,236,88,18,1017
2016-01-01 03:00:00+00:00,3.1,236,88,18,1017
2016-01-01 03:10:00+00:00,2.1,236,88,17,1017
2016-01-01 03:20:00+00:00,2.4,236,91,17,1017
2016-01-01 03:30:00+00:00,3.8,236,92,17,1017
2016-01-01 03:40:00+00:00,4.2,236,93,17,1017
2016-01-01 03:50:00+00:00,3.9,236,92,17,1017
2016-01-01 04:00:00+00:00,3.8,236,93,17,1017
2016-01-01 04:10:00+00:00,3.9,236,93,17,1017
2016-01-01 04:20:00+00:00,3.7,236,93,17,1017
2016-01-01 04:30:00+00:00,3.0,236,94,17,1017
2016-01-01 04:40:00+00:00,2.1,236,95,17,1017
2016-01-01 04:50:00+00:00,1.7000000000000002,236,95,17,1016
2016-01-01 05:00:00+00:00,1.2,236,95,17,1016
2016-01-01 05:10:00+00:00,0.6000000000000001,236,95,17,1016
2016-01-01 05:20:00+00:00,0.4,236,95,17,1016
2016-01-01 05:30:00+00:00,0.4,236,96,17,1016
2016-01-01 05:40:00+00:00,0.8,236,96,17,1016
2016-01-01 05:50:00+00:00,2.4,236,96,17,1016
2016-01-01 06:00:00+00:00,3.0,236,96,17,1016
2016-01-01 06:10:00+00:00,3.2,236,95,17,1016
2016-01-01 06:20:00+00:00,3.5,236,95,17,1016
2016-01-01 06:30:00+00:00,3.8,236,94,17,1016
2016-01-01 06:40:00+00:00,4.5,236,93,17,1016
2016-01-01 06:50:00+00:00,4.5,236,93,17,1016
2016-01-01 07:00:00+00:00,4.9,236,94,17,1016
2016-01-01 07:10:00+00:00,4.7,236,94,17,1016
2016-01-01 07:20:00+00:00,5.4,236,93,17,1016
2016-01-01 07:30:00+00:00,5.1,236,94,17,1017
2016-01-01 07:40:00+00:00,4.6,236,93,17,1017
