,Timestamp,index,Gen_Bear_Temp_Avg,Gen_Phase1_Temp_Avg,Hyd_Oil_Temp_Avg,HVTrafo_Phase2_Temp_Avg,Gear_Bear_Temp_Avg,Gear_Oil_Temp_Avg,loss,threshold,anomaly,color,dayTill,component,day,month,year,dayofyear,dayName,monthName,key
0,2016-09-01 00:00:00+00:00,0.0,0.27979390681003585,0.4200634057971014,0.7827380952380951,0.8849765258215962,0.9166666666666667,0.8607142857142857,0.30189592350342,0.26687716267439854,1.0,FFFDE7,17,Gear Bear,1,9,2016,245,Thursday,September,0
1,2016-09-02 00:00:00+00:00,1.0,0.3172043010752688,0.518719806763285,0.7063492063492063,0.7887323943661972,0.9090909090909092,0.8317460317460317,0.2359231883201046,0.1681359205301691,1.0,FFFDE7,16,Gear Bear,2,9,2016,246,Thursday,September,1
2,2016-09-03 00:00:00+00:00,1.5,0.19232649071358748,0.2670454545454545,0.762987012987013,0.7035851472471191,0.7892561983471075,0.8415584415584414,0.290653907842256,0.26687716267439854,1.0,FFF9C4,15,Gear Bear,3,9,2016,247,Thursday,September,2
3,2016-09-04 00:00:00+00:00,3.0,0.2237903225806451,0.3172554347826086,0.7723214285714286,0.6408450704225352,0.8522727272727274,0.8035714285714284,0.1975852625201578,0.1681359205301691,1.0,FFF9C4,14,Gear Bear,4,9,2016,248,Thursday,September,3
4,2016-09-05 00:00:00+00:00,4.0,0.2150537634408602,0.2826086956521739,0.7142857142857143,0.6197183098591549,0.8636363636363638,0.8857142857142856,0.1691228915815768,0.1681359205301691,1.0,FFF59D,13,Gear Bear,5,9,2016,249,Thursday,September,4
5,2016-09-06 00:00:00+00:00,,,,,,,,,,,FFF176,12,Gear Bear,6,9,2016,250,Thursday,September,5
6,2016-09-07 00:00:00+00:00,,,,,,,,,,,FFEE58,11,Gear Bear,7,9,2016,251,Thursday,September,6
7,2016-09-08 00:00:00+00:00,,,,,,,,,,,FFEB3B,10,Gear Bear,8,9,2016,252,Thursday,September,7
8,2016-09-09 00:00:00+00:00,,,,,,,,,,,FFEB3B,10,Gear Bear,9,9,2016,253,Thursday,September,8
9,2016-09-10 00:00:00+00:00,,,,,,,,,,,FDD835,10,Gear Bear,10,9,2016,254,Thursday,September,9
10,2016-09-11 00:00:00+00:00,,,,,,,,,,,FBC02D,10,Gear Bear,11,9,2016,255,Thursday,September,10
11,2016-09-12 00:00:00+00:00,,,,,,,,,,,FBC02D,10,Gear Bear,12,9,2016,256,Thursday,September,11
12,2016-09-13 00:00:00+00:00,0.0,0.1559139784946236,0.2282608695652173,0.5357142857142857,0.4225352112676056,0.7045454545454546,0.7142857142857143,0.3191365940230234,0.3166674024907618,1.0,F9A825,5,Gear Bear,13,9,2016,257,Thursday,September,12
13,2016-09-14 00:00:00+00:00,,,,,,,,,,,F9A825,4,Gear Bear,14,9,2016,258,Thursday,September,13
14,2016-09-15 00:00:00+00:00,,,,,,,,,,,F9A825,3,Gear Bear,15,9,2016,259,Thursday,September,14
